Name,Genre,ESRB_Rating,Platform,Critic_Score
Call of Duty: Ghosts,Shooter,M,PS3,7.5
Horizon: Zero Dawn,Action,T,PS4,9.1
Pokemon: Let's Go  Pikachu/Eevee,Role-Playing,E,NS,8.5
RollerCoaster Tycoon 3,Strategy,E,PC,8.3
Halo: Reach,Shooter,M,X360,9.3
Portal,Shooter,T,PC,9
Halo 4,Shooter,M,X360,7.3
Final Fantasy VII,Role-Playing,T,PS,9.6
Mario Kart 64,Racing,E,N64,8.5
StarCraft,Strategy,T,PC,8.7
Super Smash Bros. for 3DS,Fighting,E10,3DS,8.4
Call of Duty 4: Modern Warfare,Shooter,M,X360,9.6
Gran Turismo 2,Racing,E,PS,9.2
Wii Party,Misc,E,Wii,7
Call of Duty: Black Ops IIII,Shooter,M,PS4,4.8
Mario Party DS,Misc,E,DS,7.1
Donkey Kong Country,Platform,E,SNES,9
FIFA 19,Sports,E,PS4,1.5
Marvel's Spider-Man,Action-Adventure,T,PS4,9.1
Half-Life 2,Shooter,M,PC,9.7
The Elder Scrolls V: Skyrim,Role-Playing,M,X360,9.3
Mario Party 8,Misc,E,Wii,6.5
Super Mario Kart,Racing,E,SNES,10
Grand Theft Auto V,Action,M,XOne,9
Uncharted 4: A Thief's End,Action,T,PS4,9.2
Final Fantasy VIII,Role-Playing,T,PS,9.4
Final Fantasy X,Role-Playing,T,PS2,9
Pokemon Black 2 and White 2,Role-Playing,E,DS,8
Call of Duty: Infinite Warfare,Shooter,M,PS4,2.5
Fallout 4,Role-Playing,M,PS4,8.6
Mario Kart 8,Racing,E,WiiU,8.8
Tekken 3,Fighting,T,PS,9.6
Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,8.1
Splatoon 2,Shooter,E10,NS,8.2
FIFA 16,Sports,E,PS4,8.5
GoldenEye 007,Shooter,T,N64,9.8
Star Wars Battlefront (2015),Shooter,T,PS4,7.1
FIFA 13,Sports,E,PS3,8
Halo 2,Shooter,M,XB,9.6
The Sims 3,Simulation,T,PC,8.5
Grand Theft Auto: Liberty City Stories,Action,M,PSP,8.8
Pokemon Platinum Version,Role-Playing,E,DS,8.3
The Legend of Zelda: Ocarina of Time,Adventure,E,N64,9.9
Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,8.6
Call of Duty: Advanced Warfare,Shooter,M,PS4,8.5
Call of Duty: World at War,Shooter,M,X360,8.5
Super Mario Galaxy 2,Platform,E,Wii,9.7
Super Smash Bros. Melee,Fighting,T,GC,9.2
Call of Duty: Black Ops 3,Shooter,M,XOne,7.8
Battlefield 3,Shooter,M,X360,8.5
The Legend of Zelda: Twilight Princess,Adventure,T,Wii,9.5
Battlefield 1,Shooter,M,PS4,7.7
Battlefield 3,Shooter,M,PS3,8.5
Need for Speed Underground,Racing,E,PS2,8.6
Crash Bandicoot 3: Warped,Platform,E,PS,9.3
Pokemon Emerald Version,Role-Playing,E,GBA,7.7
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,3DS,8.1
Need for Speed Underground 2,Racing,E,PS2,8.3
Just Dance 4,Music,E10,Wii,9.7
Mario Kart: Double Dash!!,Racing,E,GC,8.5
Uncharted 3: Drake's Deception,Action,T,PS3,9.3
Medal of Honor: Frontline,Shooter,T,PS2,9
Crash Bandicoot,Platform,E,PS,7.8
Zumba Fitness,Sports,E,Wii,6.4
Uncharted 2: Among Thieves,Action,T,PS3,9.5
Call of Duty 4: Modern Warfare,Shooter,M,PS3,9.5
FIFA Soccer 12,Sports,E,PS3,9.2
FIFA 14,Sports,E,PS3,5.7
Red Dead Redemption,Action,M,PS3,9.5
Donkey Kong Country Returns,Platform,E,Wii,8.6
Assassin's Creed III,Action-Adventure,M,PS3,8.8
Guild Wars,Role-Playing,T,PC,8.7
Red Dead Redemption,Action,M,X360,9.5
The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,9
Final Fantasy XII,Role-Playing,T,PS2,9.4
Tomodachi Life,Simulation,E,3DS,7.8
Pokemon Crystal Version,Role-Playing,E,GBC,8.7
Halo 3: ODST,Shooter,M,X360,8.7
Minecraft,Misc,E10,PS4,9.4
FIFA 15,Sports,E,PS4,8.1
Kingdom Hearts,Role-Playing,E,PS2,8.5
The Last of Us,Action-Adventure,M,PS3,9.5
Driver,Action,T,PS,8.5
Call of Duty: WWII,Shooter,M,XOne,8.1
God of War (2018),Action,M,PS4,9.7
Big Brain Academy,Misc,E,DS,7.7
Minecraft,Misc,E10,PS3,4
Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,9.5
Metal Gear Solid,Action,M,PS,9.3
Myst,Adventure,E,PC,8.9
Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,9.3
Mario Kart: Super Circuit,Racing,E,GBA,9.3
Super Mario Sunshine,Platform,E,GC,9.2
LittleBigPlanet,Platform,E,PS3,9.4
Super Mario 3D World,Platform,E,WiiU,9.5
Link's Crossbow Training,Shooter,T,Wii,6.9
Red Dead Redemption 2,Action-Adventure,M,XOne,1.1
New Super Mario Bros. U,Platform,E,WiiU,8.4
Destiny,Shooter,T,PS4,9.2
Luigi's Mansion: Dark Moon,Adventure,E,3DS,8.6
Tekken 2,Fighting,T,PS,9.1
Super Mario World: Super Mario Advance 2,Platform,E,GBA,9.4
LEGO Star Wars: The Complete Saga,Action,E10,Wii,8
Cooking Mama,Simulation,E,DS,6.6
The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,E10,3DS,9.5
Super Mario Advance,Platform,E,GBA,8.2
Assassin's Creed II,Action,M,PS3,9
Super Smash Bros.,Fighting,E,N64,8.4
Assassin's Creed,Action,M,X360,8.2
Batman: Arkham City,Action,T,PS3,9.6
Forza Motorsport 3,Racing,E,X360,9.2
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,E10,DS,8.6
Final Fantasy IX,Role-Playing,T,PS,9.2
Final Fantasy X-2,Role-Playing,T,PS2,8.3
Tomb Raider (2013),Action,M,PC,8.8
The Witcher 3: Wild Hunt,Role-Playing,M,PC,8.7
Pokemon Stadium,Strategy,E,N64,7.5
Minecraft,Misc,E10,XOne,1.2
Call of Duty: World at War,Shooter,M,PS3,8.4
Super Mario Advance 4: Super Mario Bros. 3,Platform,E,GBA,9.2
Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,6.9
The Witcher 3: Wild Hunt,Role-Playing,M,PS4,1.4
Final Fantasy XIII,Role-Playing,T,PS3,8
Gran Turismo 5 Prologue,Racing,E,PS3,8.3
Super Smash Bros. for Wii U,Fighting,E10,WiiU,9.2
Assassin's Creed III,Action-Adventure,M,X360,4
Pokemon Pinball,Misc,E,GBC,8.7
Assassin's Creed II,Action,M,X360,9.1
Super Mario Party,Party,E,NS,7.3
Donkey Kong 64,Platform,E,N64,9.3
Just Dance 2,Misc,E10,Wii,7.3
Tomb Raider II,Adventure,T,PS,7.6
Madden NFL 2004,Sports,E,PS2,9.5
Call of Duty: Advanced Warfare,Shooter,M,XOne,8.3
Fallout: New Vegas,Role-Playing,M,PC,8.3
Gran Turismo 6,Racing,E,PS3,6.8
Kingdom Hearts II,Role-Playing,E10,PS2,8.3
God of War III,Action,M,PS3,9.2
Nintendo Land,Party,E10,WiiU,7.8
Super Mario Land 3: Wario Land,Platform,E,GB,7.9
Donkey Kong Country 2: Diddy's Kong Quest,Platform,E,SNES,9.3
Medal of Honor: Rising Sun,Shooter,T,PS2,5.9
Battlefield 1,Shooter,M,XOne,7.2
Kirby's Dream Land,Platform,E,GB,5.6
Microsoft Flight Simulator,Simulation,E,PC,7
Guitar Hero II,Misc,T,PS2,9.2
FIFA 13,Sports,E,X360,1.6
Resident Evil 5,Action,M,PS3,8.6
Fable III,Role-Playing,M,X360,7.8
Mario & Sonic at the Olympic Games,Sports,E,DS,7
Grand Theft Auto: Vice City Stories,Action,M,PSP,8.4
FIFA Soccer 11,Sports,E,PS3,8.7
Super Mario Bros. Deluxe,Platform,E,GB,9.7
Final Fantasy XV,Role-Playing,T,PS4,8.1
Fallout 4,Role-Playing,M,XOne,8.4
Tony Hawk's Pro Skater,Sports,T,PS,9.6
Warzone 2100,Strategy,T,PS,7.1
Spyro the Dragon,Platform,E,PS,8.7
Cities: Skylines,Simulation,E,PC,8.4
Gears of War,Shooter,M,X360,9.4
Gears of War 2,Shooter,M,X360,9.4
Guild Wars 2,Role-Playing,T,PC,1.8
Halo 5: Guardians,Shooter,T,XOne,8.6
Halo: Combat Evolved,Shooter,M,XB,9.5
Guitar Hero III: Legends of Rock,Misc,T,PS2,8.2
Uncharted: Drake's Fortune,Action,T,PS3,8.7
Resident Evil 2,Action,M,PS,9.3
Fallout 3,Role-Playing,M,X360,9
Splatoon,Shooter,E10,WiiU,8.4
Madden NFL 06,Sports,E,PS2,9.1
Stardew Valley,Simulation,E10,PC,9.2
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,T,PS2,8.6
Diddy Kong Racing,Racing,E,N64,8.3
Pokemon Mystery Dungeon: Explorers of Time / Darkness,Role-Playing,E,DS,6.4
Call of Duty: Black Ops IIII,Shooter,M,XOne,1.1
Crash Bandicoot N. Sane Trilogy,Platform,E10,PS4,1.6
Assassin's Creed,Action,M,PS3,8.2
Call of Duty: Infinite Warfare,Shooter,M,XOne,5.9
Crash Team Racing,Racing,E,PS,9.2
LEGO Star Wars: The Complete Saga,Action,E,DS,7.8
The Legend of Zelda: Phantom Hourglass,Adventure,E,DS,9.1
Batman: Arkham City,Action,T,X360,9.5
Driver 2,Action,T,PS,7
The Simpsons: Hit & Run,Racing,T,PS2,7.7
World of Warcraft: Cataclysm,MMO,T,PC,9
Tony Hawk's Pro Skater 2,Sports,T,PS,9.3
Monster Hunter: World,Action,T,PS4,9.3
Gran Turismo,Racing,E,PSP,7.7
The Lord of the Rings: The Two Towers,Action,T,PS2,8.3
Tomb Raider,Action,T,PS,8.9
God of War,Action,M,PS2,9.3
Forza Motorsport 4,Racing,E,X360,9.1
Guitar Hero III: Legends of Rock,Misc,T,Wii,8.6
Pokemon: Let's Go  Pikachu!,Role-Playing,E,NS,8.3
BioShock Infinite,Shooter,M,PC,5.8
Mario & Luigi: Bowser's Inside Story,Role-Playing,E,DS,9.1
FIFA 15,Sports,E,PS3,6.9
Mario & Sonic at the Olympic Winter Games,Sports,E,Wii,6.8
Overwatch,Shooter,T,PS4,8.8
Madden NFL 2005,Sports,E,PS2,9.5
Guitar Hero III: Legends of Rock,Misc,T,X360,8.7
Star Wars Battlefront II (2017),Shooter,T,PS4,8.4
Dead Island,Action,M,PC,7.1
ARK: Survival Evolved,Action-Adventure,T,PC,1.7
Riven: The Sequel to Myst,Adventure,E,PC,3.4
StarCraft II: Wings of Liberty,Strategy,T,PC,9.3
Warcraft III: Reign of Chaos,Strategy,T,PC,9.3
Professor Layton and the Curious Village,Adventure,E,DS,8.7
Madden NFL 07,Sports,E,PS2,8.5
Spider-Man: The Movie,Action,E,PS2,8.2
Nintendogs + cats,Simulation,E,3DS,7.2
The Elder Scrolls IV: Oblivion,Role-Playing,M,X360,9.2
The Legend of Zelda: The Wind Waker,Adventure,E,GC,9.6
Tony Hawk's Pro Skater 3,Sports,T,PS2,9.1
Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PS2,8.8
Michael Jackson: The Experience,Misc,E10,Wii,5.6
Tom Clancy's The Division,Shooter,M,PS4,1
Need for Speed: Most Wanted,Racing,T,PS2,8.6
Resistance: Fall of Man,Shooter,M,PS3,8.5
Call of Duty: Advanced Warfare,Shooter,M,X360,9.1
Watch Dogs,Action-Adventure,M,PS4,2.5
Animal Crossing: City Folk,Simulation,E,Wii,7.1
Dragon Quest VII,Role-Playing,T,PS,8
Monster Hunter Generations,Action,T,3DS,8.8
Batman: Arkham Asylum,Action,T,PS3,9
Call of Duty: Advanced Warfare,Shooter,M,PS3,9.1
God of War II,Action,M,PS2,9.3
Namco Museum,Misc,E,GBA,1.4
Daxter,Platform,E10,PSP,8.6
Super Paper Mario,Platform,E,Wii,8.5
Assassin's Creed: Revelations,Action,M,PS3,8.8
Metal Gear Solid 3: Snake Eater,Action,M,PS2,9
Assassin's Creed: Revelations,Action,M,X360,7.9
FIFA Soccer 06,Sports,E,PS2,8.4
Monster Hunter 4 Ultimate,Role-Playing,T,3DS,8.8
Street Fighter IV,Fighting,T,PS3,9.3
7 Days to Die,Action,M,PC,9.8
FIFA Soccer 12,Sports,E,X360,9.2
Call of Duty: Ghosts,Shooter,M,PS4,7.5
Just Cause 2,Action,M,PC,8.2
Frogger,Action,E,PS,4.6
Star Wars Battlefront (2015),Shooter,T,XOne,6.9
FIFA 14,Sports,E,X360,6.5
Madden NFL 2003,Sports,E,PS2,9.4
Assassin's Creed: Unity,Action,M,PS4,3.2
Destiny 2,Shooter,T,PS4,8.4
Half-Life,Shooter,M,PC,9.5
Super Mario World 2: Yoshi's Island,Platform,E,SNES,9
Batman: Arkham Knight,Action,M,PS4,8.1
FIFA 07 Soccer,Sports,E,PS2,8.4
The Sims 4,Simulation,T,PC,7
Fallout: New Vegas,Role-Playing,M,X360,8.2
Assassin's Creed Origins,Action,M,PS4,9.9
Far Cry 4,Shooter,M,PS4,8.4
Carnival Games,Misc,E,Wii,4.2
World Soccer Winning Eleven 9,Sports,E,PS2,8.9
Forza Motorsport 2,Racing,E,X360,9.1
Namco Museum Vol.3,Misc,E,PS,5
Tekken Tag Tournament,Fighting,T,PS2,8.7
Diablo II,Role-Playing,M,PC,8.8
EyeToy Play,Misc,E,PS2,7.5
Just Dance,Misc,E10,Wii,5.4
Star Fox 64,Shooter,E,N64,9
Super Mario Maker,Platform,E,WiiU,8.8
World of Warcraft: Wrath of the Lich King,MMO,T,PC,9.3
Fallout 3,Role-Playing,M,PS3,8.8
The Legend of Zelda: Oracle of Ages / Seasons,Adventure,E,GBC,3
The Elder Scrolls V: Skyrim,Role-Playing,M,PC,9.2
Namco Museum: 50th Anniversary,Misc,E10,PS2,1.5
NBA 2K16,Sports,E10,PS4,8.7
Left 4 Dead 2,Shooter,M,X360,9
Far Cry 5,Action,M,PS4,7.9
Battlefield 4,Shooter,M,PS4,8.3
Assassin's Creed IV: Black Flag,Action-Adventure,M,PS3,8.7
EA Sports Active,Sports,E,Wii,8.3
Half-Life 2: Episode One,Shooter,M,PC,8.7
Donkey Kong Land,Platform,E,GB,9
Tony Hawk's Underground,Sports,T,PS2,8.7
Just Dance 2014,Music,E10,Wii,7.4
Professor Layton and the Diabolical Box,Adventure,E10,DS,8.5
Sports Champions,Sports,E10,PS3,7.6
MotorStorm,Racing,T,PS3,8.2
World Soccer Winning Eleven 8 International,Sports,E,PS2,9.3
Namco Museum Vol.1,Misc,E,PS,3.2
The Legend of Zelda: Link's Awakening,Adventure,E,GB,5.3
Resident Evil VII: Biohazard,Action,M,PS4,8.6
Monster Hunter Freedom Unite,Role-Playing,T,PSP,7.7
Gran Turismo Sport,Racing,E,PS4,3
LEGO Indiana Jones: The Original Adventures,Adventure,E10,X360,7.5
The Sims: Unleashed,Simulation,T,PC,7.3
Ratchet & Clank: Size Matters,Platform,E10,PSP,8.5
Harry Potter and the Sorcerer's Stone,Action,E,PS,8
Pokemon Trading Card Game,Strategy,E,GB,8.3
FIFA 17,Sports,E,XOne,8.8
Spyro: Year of the Dragon,Platform,E,PS,9.1
The Legend of Zelda: A Link Between Worlds,Adventure,E,3DS,9.3
FIFA Soccer 2005,Sports,E,PS2,8.4
The Legend of Zelda: Skyward Sword,Adventure,T,Wii,9.4
Tony Hawk's Pro Skater 4,Sports,T,PS2,9.6
Midnight Club 3: DUB Edition,Racing,E10,PSP,7.2
MySims,Simulation,E,DS,6.7
Banjo-Kazooie,Platform,E,N64,9.3
SOCOM: U.S. Navy SEALs,Shooter,M,PS2,8
Battlefield 4,Shooter,M,PS3,8.7
Jak and Daxter: The Precursor Legacy,Platform,E,PS2,9
Pokemon Snap,Simulation,E,N64,7.9
Pro Evolution Soccer 2008,Sports,E,PS2,8.2
FIFA Soccer 10,Sports,E,PS3,9
Guitar Hero: World Tour,Misc,T,Wii,8.4
Gears of War: Ultimate Edition,Shooter,M,XOne,3.9
Star Wars Battlefront,Shooter,T,PS2,8.1
Doom II,Shooter,M,PC,9.3
The Simpsons: Road Rage,Racing,T,PS2,6.1
Assassin's Creed Syndicate,Action,M,PS4,8.6
Star Wars Battlefront II,Shooter,T,PS2,8.5
Assassin's Creed: Unity,Action,M,XOne,2.2
Cooking Mama 2: Dinner With Friends,Simulation,E,DS,6.9
WWF SmackDown!,Fighting,T,PS,2.2
Croc: Legend of the Gobbos,Platform,E,PS,7.6
Battlefield 4,Shooter,M,X360,8.7
Grand Theft Auto: Liberty City Stories,Action,M,PS2,8.3
The Getaway,Action,M,PS2,7.7
Tomb Raider III: Adventures of Lara Croft,Adventure,T,PS,8.2
Batman: Arkham Asylum,Action,T,X360,9.1
Assassin's Creed: Brotherhood,Action,M,X360,9.1
James Bond 007: Agent Under Fire,Shooter,T,PS2,5.1
LEGO Star Wars: The Video Game,Action,E,PS2,7.9
Resident Evil 5,Action,M,X360,8.6
Rugrats in Paris: The Movie,Action,E,PS,1.2
NBA 2K17,Sports,E,PS4,9
FIFA Soccer 11,Sports,E,X360,8.7
Spyro 2: Ripto's Rage!,Platform,E,PS,8.7
Left 4 Dead,Shooter,M,X360,8.7
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,E,SNES,8.8
Fable II,Role-Playing,M,X360,9
Resident Evil 3: Nemesis,Action,M,PS,9.4
World of Warcraft: The Burning Crusade,MMO,T,PC,9.2
FIFA Soccer 2004,Sports,E,PS2,8
Pokemon Mystery Dungeon: Blue Rescue Team,Role-Playing,E,DS,6.3
Mortal Kombat X,Fighting,M,PS4,3
Battlefield: Bad Company 2,Shooter,M,X360,9
Borderlands,Shooter,M,X360,8.3
Mario & Sonic at the Olympic Winter Games,Sports,E,DS,7.6
Guitar Hero: On Tour,Misc,E10,DS,7.1
Dragon Ball Z: Budokai,Fighting,T,PS2,6.5
Halo: The Master Chief Collection,Shooter,M,XOne,3.5
LEGO Batman: The Videogame,Adventure,E10,X360,7.5
Tekken 4,Fighting,T,PS2,7.9
FIFA 14,Sports,E,PS4,1.1
LittleBigPlanet 2,Platform,E,PS3,9.1
Destiny,Shooter,T,XOne,8.3
Spider-Man 2,Action,T,PS2,7.9
F-1 Race,Racing,E,GB,3.9
FIFA Soccer 2003,Sports,E,PS2,2.3
Crash Bash,Misc,E,PS,6.8
Gears of War 4,Shooter,M,XOne,6.1
Tekken: Dark Resurrection,Fighting,T,PSP,8.7
The Elder Scrolls V: Skyrim Special Edition,Role-Playing,M,PS4,8.3
The Legend of Zelda: Majora's Mask,Adventure,E,N64,9.3
WWF War Zone,Fighting,T,PS,8.4
Yoshi's Island DS,Platform,E,DS,8.2
Assassin's Creed IV: Black Flag,Action-Adventure,M,X360,8.5
NBA 2K18,Sports,E10,PS4,8.1
Big Brain Academy: Wii Degree,Misc,E,Wii,7.1
Rugrats: Search For Reptar,Adventure,E,PS,7.6
Luigi's Mansion,Action,E,GC,7.9
James Bond 007: Nightfire,Shooter,T,PS2,3.5
Ratchet & Clank,Platform,T,PS2,1.6
Animal Crossing: Happy Home Designer,Simulation,E,3DS,6.6
Star Wars Episode III: Revenge of the Sith,Action,T,PS2,8.9
Max Payne,Shooter,M,PS2,8.1
Madden NFL 16,Sports,E,PS4,8.2
World of Warcraft: Legion,MMO,T,PC,3.7
World of Warcraft: Warlords of Draenor,MMO,T,PC,7.3
Dark Souls: Prepare to Die Edition,Role-Playing,M,PC,2.1
The Lord of the Rings: The Return of the King,Action,T,PS2,8.4
Half-Life 2: Episode Two,Shooter,M,PC,9.1
Madden NFL 17,Sports,E,PS4,8.5
True Crime: Streets of LA,Action,M,PS2,4.5
Gran Turismo (PSP),Racing,E,PSP,8.4
God of War: Chains of Olympus,Action,M,PSP,8.9
FIFA 16,Sports,E,XOne,8.5
Tekken,Fighting,T,PS,8.3
Flash Focus: Vision Training in Minutes a Day,Misc,E,DS,6.1
007: Tomorrow Never Dies,Shooter,T,PS,6.2
L.A. Noire,Adventure,M,PS3,9.1
Killer Instinct,Fighting,T,SNES,4.2
WWF SmackDown! 2: Know Your Role,Fighting,T,PS,8.7
Middle-Earth: Shadow of Mordor,Action,M,PS4,8.3
Assassin's Creed IV: Black Flag,Action-Adventure,M,PS4,8.3
Personal Trainer: Cooking,Misc,E,DS,8.4
Enter the Matrix,Action,T,PS2,8.5
Assassin's Creed Odyssey,Action-Adventure,M,PS4,9.5
Fallout: New Vegas,Role-Playing,M,PS3,8.2
Ace Combat 04: Shattered Skies,Simulation,E,PS2,8.9
Sonic Heroes,Platform,E,PS2,6.6
Club Penguin: Elite Penguin Force,Adventure,E,DS,7
FIFA Soccer 08,Sports,E,PS2,4.7
FIFA 18,Sports,E,XOne,8
Spider-Man,Action,E,PS,1.8
Need for Speed III: Hot Pursuit,Racing,E,PS,6.2
The Elder Scrolls IV: Oblivion,Role-Playing,M,PS3,9.3
Star Wars Episode I Racer,Racing,E,N64,8.7
Tekken 6,Fighting,T,PS3,7.9
Resident Evil 6,Action,M,PS3,9.7
Tom Clancy's Ghost Recon Wildlands,Shooter,M,PS4,7
NBA 2K13,Sports,E,X360,8.6
Titanfall,Shooter,M,XOne,3.5
Mario Party 9,Party,E,Wii,6.5
Mass Effect 2,Role-Playing,M,X360,9.5
Madden NFL 2002,Sports,E,PS2,8.9
LEGO Batman: The Videogame,Adventure,E10,Wii,7.3
Saints Row 2,Action,M,X360,7.9
Donkey Kong,Platform,E,GB,4.2
The Sims: Vacation,Simulation,T,PC,5.2
Call of Duty: Ghosts,Shooter,M,XOne,7.5
Heavy Rain,Adventure,M,PS3,8.8
LEGO Batman: The Videogame,Adventure,E10,DS,7.8
Kung Fu Panda,Platform,E10,X360,7.5
Mass Effect 3,Role-Playing,M,X360,9.6
New Super Luigi U,Action,E,WiiU,7.8
Rhythm Heaven,Music,E,DS,8.5
Metal Gear Solid V: The Phantom Pain,Action,M,PS4,8
Rayman,Platform,E,PS,7
Tom Clancy's Splinter Cell,Action,T,XB,9.3
Professor Layton and the Unwound Future,Adventure,E10,DS,8.4
Disney Epic Mickey,Platform,E,Wii,7
Killzone 2,Shooter,M,PS3,9.1
Crysis,Shooter,M,PC,9.2
Fable,Role-Playing,M,XB,8.6
Gears of War 3,Shooter,M,X360,9.1
Kinect Sports,Sports,E10,X360,7.4
Sonic and the Secret Rings,Platform,E,Wii,6.7
Sonic Rush,Platform,E,DS,7.8
The Legend of Zelda: Majora's Mask 3D,Action-Adventure,E10,3DS,9
Warcraft II: Tides of Darkness,Strategy,T,PC,9.3
WWE SmackDown! vs. Raw 2006,Fighting,T,PS2,8.4
Kirby Super Star Ultra,Platform,E,DS,7.3
The Sims: Livin Large,Misc,T,PC,7.1
inFAMOUS,Action,T,PS3,8.7
World Soccer Winning Eleven 6 International,Sports,E,PS2,3.9
Far Cry 3,Shooter,M,X360,4.2
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,E,DS,7.8
Style Savvy,Simulation,E,DS,7.6
Super Meat Boy,Platform,T,PC,9.2
Star Wars: The Old Republic,Role-Playing,T,PC,8.4
The Legend of Zelda: Spirit Tracks,Adventure,E10,DS,8.7
Battlefield: Bad Company 2,Shooter,M,PS3,8.9
Hitman 2: Silent Assassin,Action,M,PS2,1.4
Yokai Watch 2: Psychic Specters,Role-Playing,E10,3DS,8.1
Street Fighter IV,Fighting,T,X360,9.3
SOCOM II: U.S. Navy SEALs,Shooter,M,PS2,8.1
WWE SmackDown! vs. RAW 2006,Fighting,T,PS2,2.4
Wave Race 64,Racing,E,N64,9.2
